gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,bachelor's degree,free/reduced,complete,43,72,78
female,group D,bachelor's degree,free/reduced,not complete,43,49,34
female,group E,master's degree,free/reduced,not complete,84,65,88
undisclosed,group A,bachelor's degree,standard,complete,51,68,57
male,group E,college,standard,not complete,77,59,1020
female,group D,high school,standard,not complete,83,78,79
other,group D,college,standard,complete,48,34,77
male,group D,college,standard,complete,75,96,89
undisclosed,group C,bachelor's degree,standard,complete,95,35,92
female,group A,college,free/reduced,not complete,88,32,46
male,group E,high school,standard,complete,69,93,99
male,group C,college,free/reduced,not complete,33,31,83
male,group B,college,standard,not complete,51,31,57
undisclosed,group D,college,free/reduced,not complete,91,784,33
female,group B,bachelor's degree,free/reduced,complete,77,35,97
male,group A,college,free/reduced,not complete,96,52,78
male,group A,high school,standard,complete,45,31,89
female,group D,college,free/reduced,not complete,71,34,81
male,group B,associate's degree,free/reduced,not complete,31,34,66
female,group A,college,free/reduced,complete,90,90,37
other,group B,associate's degree,free/reduced,not complete,37,97,90
female,group A,high school,free/reduced,not complete,51,60,96
male,group A,associate's degree,,complete,83,38,89
other,group B,college,free/reduced,complete,65,91,97
male,group A,associate's degree,standard,complete,88,41,86
undisclosed,group C,associate's degree,standard,complete,83,38,93
male,group E,associate's degree,standard,not complete,39,52,75
male,group D,high school,standard,not complete,91,86,84
male,group C,college,standard,complete,74,69,32
male,group B,college,standard,not complete,38,37,97
male,group A,college,free/reduced,not complete,87,80,52
,group D,college,free/reduced,complete,68,34,60
female,group E,high school,standard,not complete,54,37,85
male,group B,college,standard,complete,95,65,58
male,group A,bachelor's degree,free/reduced,not complete,70,79,50
female,group E,high school,Free/reduced,complete,91,63,60
other,group C,high school,free/reduced,complete,59,47,94
male,group A,associate's degree,free/reduced,complete,41,81,40
female,group A,master's degree,free/reduced,not complete,57,38,99
male,group A,college,free/reduced,not complete,51,34,72
male,group B,high school,free/reduced,complete,774,86,62
female,group B,high school,free/reduced,complete,34,31,44
other,group D,master's degree,free/reduced,not complete,35,39,63
female,group A,associate's degree,free/reduced,complete,98,66,83
male,group E,High school,Free/reduced,not complete,61,990,64
female,group C,bachelor's degree,free/reduced,,93,92,41
female,group B,high school,free/reduced,not complete,55,88,42
female,group B,college,standard,not complete,89,59,81
female,group C,bachelor's degree,standard,complete,97,67,53
female,group B,college,standard,complete,50,62,87
female,group E,bachelor's degree,standard,not complete,37,60,96
undisclosed,group C,bachelor's degree,free/reduced,not complete,32,79,82
male,group D,master's degree,standard,complete,38,31,46
other,group B,college,standard,not complete,37,76,91
female,group C,associate's degree,free/reduced,complete,56,71,98
male,group B,associate's degree,standard,complete,77,94,55
female,group B,high school,standard,not complete,99,33,47
male,group D,associate's degree,free/reduced,not complete,73,35,90
male,group A,high school,standard,complete,803,73,43
male,group E,associate's degree,Free/reduced,not complete,52,42,91
female,group C,associate's degree,free/reduced,not complete,97,55,44
male,group C,High school,standard,not complete,91,48,77
male,group C,college,standard,not complete,32,86,58
female,group B,high school,standard,not complete,71,86,61
female,group B,high school,standard,not complete,71,86,61
undisclosed,group C,college,free/reduced,,34,47,572
undisclosed,group C,college,free/reduced,,34,47,572
male,group A,college,standard,not complete,58,84,79
male,group E,associate's degree,free/reduced,complete,51,49,42
female,group A,bachelor's degree,standard,not complete,72,94,94
undisclosed,group D,associate's degree,standard,not complete,75,70,69
female,group C,high school,free/reduced,not complete,77,77,82
male,group D,college,standard,complete,35,69,100
undisclosed,group B,college,standard,not complete,55,37,59
male,group B,high school,free/reduced,not complete,55,44,37
female,group B,high school,free/reduced,complete,90,97,99
female,group A,college,free/reduced,complete,44,34,68
female,group D,college,standard,not complete,60,30,83
female,group B,high school,standard,not complete,99,80,68
,group C,college,standard,complete,59,34,72
male,group D,associate's degree,free/reduced,complete,48,98,30
,group B,associate's degree,standard,complete,56,56,47
male,group B,college,Standard,,95,43,99
female,group B,Bachelor's degree,free/reduced,complete,65,73,45
female,group D,high school,free/reduced,complete,52,46,50
male,group C,High school,standard,not complete,43,64,92
male,group B,college,free/reduced,complete,78,70,41
male,group A,associate's degree,free/reduced,complete,62,85,45
male,group A,high school,free/reduced,not complete,39,41,82
female,group C,bachelor's degree,standard,not complete,89,65,65
male,group A,high school,standard,Not complete,89,91,53
female,group E,high school,standard,not complete,87,69,30
Male,group E,high school,standard,not complete,30,88,41
male,group B,college,standard,complete,45,84,96
male,group B,associate's degree,standard,complete,81,50,30
undisclosed,group D,bachelor's degree,standard,complete,45,80,86
male,group A,,free/reduced,complete,37,64,35
female,group D,high school,standard,complete,44,64,99
male,group E,high school,free/reduced,not complete,75,93,67
female,group E,associate's degree,free/reduced,complete,78,53,76
female,group E,high school,free/reduced,not complete,35,95,1080
female,group E,bachelor's degree,free/reduced,not complete,78,82,52
female,group A,college,standard,not complete,31,54,76
male,group C,college,standard,complete,36,52,82
female,group C,bachelor's degree,free/reduced,not complete,78,30,55
female,group D,bachelor's degree,free/reduced,complete,30,56,78
undisclosed,group C,high school,standard,not complete,37,41,81
other,group C,high school,free/reduced,complete,86,95,93
,group D,associate's degree,standard,not complete,91,57,90
male,group B,high school,free/reduced,complete,76,82,81
female,group C,college,standard,not complete,37,78,56
female,group D,high school,free/reduced,complete,64,54,66
female,group C,College,free/reduced,complete,84,80,72
female,group A,college,standard,complete,62,87,95
male,group C,bachelor's degree,standard,complete,49,67,70
female,group C,,standard,not complete,72,79,82
male,group C,,standard,not complete,68,56,64
female,group A,college,free/reduced,complete,85,40,57
male,group D,high school,standard,complete,87,39,88
female,group D,master's degree,standard,not complete,52,43,90
female,group E,college,,complete,55,81,72
female,group A,associate's degree,free/reduced,not complete,81,44,71
female,group A,high school,free/reduced,not complete,88,98,95
female,group D,associate's degree,standard,not complete,46,79,44
female,group D,college,Free/reduced,complete,59,55,87
male,group D,college,free/reduced,not complete,55,76,85
female,group C,bachelor's degree,free/reduced,not complete,32,63,68
female,group B,bachelor's degree,free/reduced,complete,36,82,87
Male,group D,college,free/reduced,not complete,38,81,92
male,group E,high school,free/reduced,not complete,486,54,70
female,group C,high school,free/reduced,complete,38,56,94
female,group C,associate's degree,free/reduced,,38,1100,664
male,group A,bachelor's degree,free/reduced,complete,69,45,32
female,group D,bachelor's degree,standard,complete,85,45,83
male,group A,college,free/reduced,complete,34,95,36
male,group E,college,standard,complete,48,72,33
male,group B,high school,standard,not complete,53,80,100
female,group A,high school,standard,Complete,78,61,48
female,group A,high school,free/reduced,complete,47,46,38
male,group A,high school,free/reduced,complete,43,58,61
female,group A,high school,free/reduced,complete,91,88,49
male,group D,master's degree,standard,,59,75,63
male,group D,associate's degree,standard,not complete,48,83,39
male,group C,college,,complete,84,89,67
male,group D,bachelor's degree,standard,not complete,88,98,98
male,group B,college,free/reduced,complete,31,53,37
male,group C,high school,Standard,not complete,86,64,51
female,group D,master's degree,free/reduced,complete,67,51,53
female,group D,bachelor's degree,free/reduced,not complete,63,37,48
male,group E,master's degree,free/reduced,complete,40,100,99
male,group E,master's degree,free/reduced,complete,40,100,99
female,group B,college,free/reduced,not complete,54,92,660
female,group B,college,free/reduced,Complete,55,37,70
undisclosed,group A,bachelor's degree,standard,not complete,64,37,61
female,group C,college,standard,complete,77,37,98
male,group E,college,standard,not complete,50,67,99
female,group E,associate's degree,,not complete,32,70,56
male,group E,college,Free/reduced,complete,96,91,72
female,group A,high school,standard,complete,32,49,45
female,group B,bachelor's degree,free/reduced,not complete,58,92,95
male,group D,college,free/reduced,not complete,84,96,50
male,group A,college,standard,not complete,88,57,56
male,group B,college,free/reduced,complete,65,34,92
female,group A,high school,standard,complete,79,91,49
female,group D,master's degree,standard,complete,46,37,93
male,group A,high school,standard,complete,35,95,81
male,group B,college,standard,not complete,32,52,89
male,group A,high school,free/reduced,complete,69,92,77
female,group A,associate's degree,free/reduced,not complete,43,86,51
male,group E,college,standard,not complete,96,59,44
,group A,college,free/reduced,not complete,34,67,83
male,group E,master's degree,,complete,59,60,65
male,group E,associate's degree,standard,complete,90,87,60
,group B,,free/reduced,complete,55,100,44
female,group A,bachelor's degree,standard,complete,42,88,51
female,group B,college,standard,complete,50,71,99
undisclosed,group A,college,free/reduced,complete,92,36,67
undisclosed,group B,high school,free/reduced,complete,82,65,69
male,group C,high school,standard,complete,100,72,78
female,,high school,Standard,complete,53,56,90
male,group E,associate's degree,free/reduced,complete,42,72,89
male,group A,high school,free/reduced,not complete,74,33,76
female,group A,bachelor's degree,free/reduced,not complete,54,70,84
female,group B,high school,standard,complete,80,54,92
male,group B,college,free/reduced,not complete,40,39,56
female,group E,high school,Free/reduced,complete,53,52,89
male,group D,associate's degree,standard,not complete,95,93,84
male,group E,High school,standard,complete,74,82,89
,group D,high school,free/reduced,not complete,59,72,65
male,group A,associate's degree,free/reduced,complete,61,59,30
male,group C,college,standard,complete,35,86,87
female,group D,associate's degree,standard,complete,46,46,67
undisclosed,group C,college,standard,not complete,38,68,94
male,group A,high school,standard,complete,64,94,100
female,group C,master's degree,free/reduced,complete,72,91,72
female,group A,,standard,complete,64,52,37
male,group E,High school,standard,not complete,35,66,46
female,group E,bachelor's degree,free/reduced,complete,74,99,86
female,group E,high school,free/reduced,complete,48,81,55
male,group A,associate's degree,standard,not complete,100,49,48
male,group D,associate's degree,free/reduced,not complete,35,58,48
female,group E,high school,standard,complete,50,86,74
female,,college,standard,complete,42,79,65
male,group B,bachelor's degree,free/reduced,complete,90,456,37
female,group C,college,standard,complete,76,52,38
female,group C,associate's degree,standard,complete,90,82,35
female,group D,associate's degree,standard,complete,44,83,54
undisclosed,group D,bachelor's degree,free/reduced,complete,56,64,32
female,group D,college,standard,not complete,95,95,82
undisclosed,group C,associate's degree,standard,not complete,32,95,59
male,group E,associate's degree,free/reduced,not complete,36,75,95
male,group B,associate's degree,free/reduced,not complete,86,30,46
female,group D,associate's degree,standard,complete,40,43,91
other,group A,high school,free/reduced,complete,96,47,88
female,group C,bachelor's degree,free/reduced,complete,88,87,95
,group D,high school,free/reduced,complete,32,76,66
female,group C,associate's degree,standard,complete,35,418,39
female,group D,associate's degree,free/reduced,not complete,44,72,30
male,group C,high school,free/reduced,not complete,51,80,98
male,group B,college,free/reduced,,65,94,52
male,group E,associate's degree,standard,not complete,81,69,31
female,group D,high school,standard,complete,40,58,77
female,group E,high school,standard,not complete,59,55,33
female,group E,college,free/reduced,complete,67,53,86
other,group B,high school,free/reduced,complete,768,96,35
male,group C,,standard,not complete,31,82,71
female,group A,associate's degree,standard,complete,63,94,52
female,group E,associate's degree,free/reduced,Complete,64,84,56
female,group E,associate's degree,free/reduced,Complete,64,84,56
female,group D,associate's degree,standard,not complete,61,38,90
female,group E,high school,standard,complete,92,53,80
male,group D,high school,standard,complete,38,70,89
female,group E,high school,standard,complete,96,100,93
female,group C,associate's degree,free/reduced,complete,98,83,39
male,group B,bachelor's degree,standard,complete,39,38,88
female,group A,associate's degree,free/reduced,complete,72,81,44
male,group B,college,standard,not complete,30,56,56
male,group B,college,standard,not complete,30,56,56
male,group C,bachelor's degree,standard,not complete,92,61,59
female,group E,associate's degree,,complete,42,72,50
undisclosed,group C,associate's degree,standard,not complete,98,97,76
female,group D,high school,standard,not complete,48,87,72
male,group C,associate's degree,free/reduced,complete,53,82,76
male,Group A,college,standard,not complete,33,55,53
male,group C,associate's degree,standard,complete,53,600,56
male,Group D,associate's degree,standard,complete,73,97,88
undisclosed,group C,bachelor's degree,Standard,not complete,80,64,36
male,group A,high school,free/reduced,not complete,36,48,61
male,group C,college,standard,not complete,78,64,96
male,group A,college,free/reduced,not complete,82,69,41
male,group E,bachelor's degree,standard,not complete,432,48,49
female,group B,bachelor's degree,standard,not complete,47,43,98
undisclosed,group B,high school,,complete,63,52,90
female,group D,college,free/reduced,,74,33,47
female,group E,associate's degree,free/reduced,complete,49,53,100
male,group C,college,free/reduced,complete,41,40,67
female,group C,associate's degree,free/reduced,complete,80,87,77
Male,group E,college,standard,complete,41,94,100
male,group C,bachelor's degree,free/reduced,complete,60,59,96
other,group E,associate's degree,free/reduced,complete,53,89,38
male,group D,,free/reduced,not complete,45,64,85
male,group C,high school,free/reduced,not complete,49,384,79
female,group C,associate's degree,Free/reduced,not complete,89,77,80
female,group D,college,free/reduced,not complete,69,82,94
female,group D,College,standard,not complete,88,100,94
male,group D,college,free/reduced,complete,82,56,50
male,group B,college,free/reduced,not complete,77,80,61
male,group E,high school,free/reduced,complete,97,60,96
male,group B,high school,free/reduced,not complete,72,61,93
male,group B,high school,free/reduced,not complete,47,81,62
other,group C,college,standard,not complete,68,52,36
,group E,college,standard,complete,30,59,33
female,group A,associate's degree,free/reduced,not complete,62,64,37
Female,group A,associate's degree,standard,complete,88,63,66
female,group B,college,free/reduced,complete,36,96,93
male,,high school,free/reduced,complete,95,85,95
female,group A,high school,standard,not complete,73,57,97
other,group D,associate's degree,free/reduced,Not complete,996,83,87
undisclosed,group E,college,free/reduced,complete,78,61,32
male,group A,high school,standard,not complete,57,37,45
male,Group C,bachelor's degree,free/reduced,not complete,69,80,384
male,,high school,free/reduced,complete,74,52,83
female,group E,associate's degree,free/reduced,not complete,37,78,44
female,group B,High school,free/reduced,not complete,81,46,30
female,group A,college,standard,Complete,75,56,288
female,group A,college,standard,Complete,75,56,288
male,group C,associate's degree,standard,not complete,58,76,61
female,group D,college,free/reduced,complete,76,30,72
male,group E,college,free/reduced,complete,65,57,60
female,group C,college,standard,not complete,78,58,40
Male,group D,associate's degree,free/reduced,not complete,64,78,43
undisclosed,group C,associate's degree,free/reduced,not complete,67,39,63
female,group C,bachelor's degree,free/reduced,not complete,31,58,49
female,group A,high school,free/reduced,complete,70,84,64
male,group D,college,free/reduced,complete,59,95,84
other,group D,high school,standard,not complete,70,85,36
male,group B,College,free/reduced,complete,92,65,68
male,group E,bachelor's degree,free/reduced,not complete,84,40,49
male,group D,master's degree,standard,not complete,31,94,97
female,group D,bachelor's degree,free/reduced,,89,42,79
female,group E,bachelor's degree,standard,complete,76,75,56
female,group A,high school,standard,not complete,49,41,86
female,group D,associate's degree,standard,complete,38,87,89
male,group D,college,free/reduced,not complete,37,72,63
undisclosed,group C,college,standard,not complete,50,72,45
female,group B,associate's degree,standard,not complete,73,70,88
male,group B,college,standard,complete,61,54,34
male,group A,college,free/reduced,complete,62,61,35
undisclosed,group B,bachelor's degree,free/reduced,not complete,61,91,43
male,group B,bachelor's degree,free/reduced,not complete,98,45,49
male,group D,associate's degree,standard,complete,748,68,93
female,group B,college,standard,complete,55,94,94
female,group E,college,free/reduced,not complete,53,67,81
female,group B,associate's degree,standard,complete,45,41,69
female,group E,master's degree,standard,complete,40,88,43
male,group C,college,free/reduced,not complete,44,48,31
male,group E,high school,standard,complete,33,65,567
male,group E,high school,standard,complete,100,89,94
female,group D,high school,free/reduced,not complete,87,72,34
female,group C,associate's degree,,not complete,58,49,35
female,group E,college,free/reduced,not complete,38,34,73
female,group E,college,free/reduced,complete,74,33,77
female,group E,associate's degree,free/reduced,complete,31,31,99
female,group C,associate's degree,free/reduced,not complete,41,96,40
other,group C,high school,free/reduced,not complete,54,66,54
male,group D,college,standard,not complete,88,88,74
female,group D,high school,free/reduced,not complete,77,75,57
female,group B,master's degree,free/reduced,not complete,64,96,81
female,group C,college,free/reduced,,74,38,36
female,group D,college,free/reduced,not complete,69,35,87
male,group C,High school,free/reduced,complete,39,58,44
male,group D,college,free/reduced,not complete,69,84,88
male,group A,high school,standard,not complete,77,96,43
male,group D,college,standard,not complete,77,57,52
male,group A,college,free/reduced,not complete,30,74,48
other,group D,bachelor's degree,standard,not complete,33,40,95
male,Group C,associate's degree,standard,complete,32,44,64
male,group B,college,free/reduced,complete,59,97,46
female,group B,associate's degree,free/reduced,complete,57,91,77
male,group A,high school,free/reduced,not complete,90,77,56
female,group E,bachelor's degree,standard,complete,522,58,92
female,Group B,associate's degree,standard,complete,49,84,90
female,group E,bachelor's degree,standard,not complete,74,68,80
other,group B,associate's degree,free/reduced,complete,59,87,52
female,group A,college,standard,not complete,84,33,63
female,group C,college,free/reduced,complete,91,72,74
male,group E,college,free/reduced,complete,48,35,72
female,group D,College,standard,not complete,88,50,95
female,group D,high school,free/reduced,not complete,69,74,71
female,group A,associate's degree,standard,not complete,59,44,62
female,group E,college,standard,complete,90,33,67
female,,high school,free/reduced,not complete,91,87,87
male,group E,high school,standard,complete,100,82,72
,group A,high school,standard,complete,42,94,87
male,group E,college,standard,not complete,72,93,78
male,group B,high school,free/reduced,not complete,76,37,34
female,group E,college,standard,complete,68,98,54
female,group D,bachelor's degree,free/reduced,not complete,66,32,468
male,group A,associate's degree,free/reduced,complete,70,61,45
female,group B,associate's degree,free/reduced,complete,60,32,34
female,group E,college,free/reduced,complete,98,51,81
,group D,college,free/reduced,complete,37,100,56
female,group A,associate's degree,free/reduced,complete,42,89,64
female,group D,college,free/reduced,not complete,100,94,90
male,group E,associate's degree,standard,complete,81,57,45
male,group E,associate's degree,standard,not complete,61,70,81
female,group D,high school,free/reduced,not complete,65,100,75
female,group B,high school,free/reduced,not complete,34,96,83
female,Group E,bachelor's degree,free/reduced,not complete,82,77,56
male,group B,high school,free/reduced,complete,97,63,52
male,group C,college,free/reduced,complete,77,64,43
male,group B,master's degree,free/reduced,complete,71,33,76
male,group E,college,standard,not complete,34,97,85
male,group D,college,standard,not complete,100,54,42
other,group E,associate's degree,free/reduced,complete,91,42,74
female,group A,high school,standard,complete,32,74,92
male,group C,high school,standard,complete,84,32,82
male,group B,high school,standard,not complete,79,99,78
female,group A,college,free/reduced,complete,94,98,39
male,group A,high school,standard,complete,53,77,73
male,group E,college,free/reduced,complete,66,70,95
female,group B,college,free/reduced,not complete,74,43,47
undisclosed,group E,high school,free/reduced,complete,42,41,95
undisclosed,group E,high school,free/reduced,complete,99,60,55
male,group D,associate's degree,standard,not complete,38,58,88
male,group E,high school,free/reduced,not complete,30,99,70
undisclosed,group B,high school,free/reduced,complete,32,68,63
female,group B,master's degree,free/reduced,not complete,55,85,46
male,group D,college,free/reduced,complete,49,91,94
male,group C,high school,free/reduced,not complete,82,91,59
female,,college,standard,not complete,240,40,59
male,group B,high school,standard,complete,75,70,37
male,group A,high school,standard,complete,93,54,69
undisclosed,group B,high school,standard,complete,83,85,80
male,group E,high school,standard,complete,74,92,40
male,group C,college,free/reduced,not complete,91,40,40
female,group C,college,standard,complete,59,68,83
female,group C,bachelor's degree,free/reduced,not complete,65,31,61
male,group C,college,free/reduced,not complete,51,48,83
male,group E,college,standard,not complete,86,49,68
male,,bachelor's degree,free/reduced,complete,63,63,80
female,group A,bachelor's degree,standard,complete,41,97,73
female,group A,high school,free/reduced,complete,40,89,99
female,group A,associate's degree,Standard,complete,59,98,51
male,group E,associate's degree,standard,complete,100,68,60
female,group A,high school,free/reduced,complete,93,47,37
male,group E,high school,free/reduced,complete,75,91,90
female,group E,high school,free/reduced,complete,43,94,51
female,group E,college,standard,not complete,39,93,77
female,group B,high school,,complete,55,80,33
undisclosed,group E,associate's degree,free/reduced,complete,30,87,35
female,group B,high school,free/reduced,complete,64,67,54
male,group A,college,standard,complete,78,87,59
male,group A,bachelor's degree,standard,complete,45,35,45
female,group E,college,standard,complete,96,54,77
male,group E,college,standard,not complete,56,67,100
female,group C,associate's degree,standard,complete,56,90,38
female,group E,college,standard,complete,66,43,39
male,,associate's degree,free/reduced,complete,89,68,54
female,group D,associate's degree,standard,complete,65,46,49
male,group A,master's degree,free/reduced,not complete,78,77,32
male,group C,associate's degree,free/reduced,not complete,50,81,65
male,group B,college,standard,complete,96,68,54
male,group A,high school,free/reduced,complete,77,96,52
female,group A,high school,free/reduced,complete,69,67,32
female,group A,bachelor's degree,,complete,67,65,92
female,group E,associate's degree,standard,not complete,98,84,67
male,group C,bachelor's degree,free/reduced,not complete,70,61,82
male,,bachelor's degree,standard,complete,67,33,42
male,,bachelor's degree,standard,complete,67,33,42
female,group E,bachelor's degree,free/reduced,complete,94,62,75
male,group A,,standard,complete,68,51,94
male,group E,college,free/reduced,complete,40,85,92
,group D,college,,complete,72,47,58
female,group E,college,standard,not complete,93,46,85
female,group C,high school,standard,complete,84,68,66
male,group D,associate's degree,free/reduced,complete,73,97,72
male,group D,Associate's degree,free/reduced,Not complete,84,45,44
male,Group C,college,free/reduced,not complete,50,95,30
female,group A,bachelor's degree,standard,not complete,98,40,76
female,group C,high school,free/reduced,not complete,65,90,44
,group E,,free/reduced,not complete,71,76,90
female,group D,associate's degree,standard,not complete,76,51,64
female,group D,associate's degree,standard,not complete,84,41,76
male,group A,bachelor's degree,,complete,91,55,96
female,group E,college,standard,not complete,54,92,42
male,group A,college,standard,complete,91,84,77
male,group B,bachelor's degree,standard,complete,98,72,93
male,group D,college,standard,not complete,91,35,70
female,group C,high school,standard,not complete,58,52,72
male,group D,bachelor's degree,standard,complete,32,68,72
male,group C,college,free/reduced,complete,768,64,79
male,group C,college,free/reduced,complete,768,64,79
female,group C,college,free/reduced,complete,83,41,58
,group C,high school,free/reduced,complete,89,66,44
male,group C,college,free/reduced,not complete,81,95,56
male,group C,college,standard,not complete,276,46,83
female,group B,bachelor's degree,free/reduced,not complete,51,44,74
male,group D,bachelor's degree,free/reduced,not complete,80,74,43
male,group C,high school,free/reduced,not complete,93,79,31
female,group C,college,free/reduced,not complete,61,42,45
male,group D,associate's degree,free/reduced,complete,74,75,90
female,group D,college,standard,complete,55,94,87
male,group B,master's degree,free/reduced,not complete,99,49,81
male,group C,college,standard,complete,66,43,79
female,group A,college,standard,not complete,54,87,64
female,group E,associate's degree,standard,not complete,64,88,60
female,group B,associate's degree,free/reduced,,95,89,77
female,group E,high school,free/reduced,not complete,89,75,42
female,group A,high school,free/reduced,not complete,30,49,30
male,group C,high school,standard,not complete,61,59,52
other,group A,associate's degree,free/reduced,not complete,43,75,58
male,group B,Associate's degree,standard,not complete,86,62,79
other,group E,high school,free/reduced,complete,99,86,98
undisclosed,group D,high school,standard,complete,53,65,46
male,group A,high school,standard,complete,52,84,48
female,group E,bachelor's degree,standard,complete,36,61,52
female,group A,high school,standard,not complete,63,100,70
male,group B,high school,standard,complete,92,99,56
male,group D,high school,free/reduced,complete,86,71,79
female,group B,associate's degree,standard,Not complete,73,30,94
female,group E,associate's degree,standard,complete,84,77,98
undisclosed,group E,associate's degree,standard,complete,66,35,99
female,group D,college,free/reduced,not complete,51,90,32
female,group D,associate's degree,standard,complete,94,80,86
female,group A,high school,standard,complete,58,57,38
female,group B,college,standard,complete,95,77,54
female,group B,college,standard,complete,84,65,73
male,group D,associate's degree,free/reduced,complete,82,65,61
female,group A,associate's degree,standard,Complete,62,80,71
female,group A,college,free/reduced,not complete,66,60,36
other,group C,high school,free/reduced,not complete,94,65,89
female,group C,college,free/reduced,complete,59,89,85
female,group E,high school,standard,complete,99,72,49
male,group D,college,free/reduced,complete,56,66,85
female,group E,college,free/reduced,not complete,90,96,69
other,group B,associate's degree,standard,complete,34,71,87
female,group C,high school,standard,not complete,62,81,87
other,group C,associate's degree,free/reduced,not complete,93,78,70
other,group C,associate's degree,free/reduced,not complete,93,78,70
other,group D,bachelor's degree,Standard,not complete,44,44,76
female,group A,college,standard,not complete,35,55,67
other,group C,associate's degree,free/reduced,complete,91,38,84
Female,group D,bachelor's degree,standard,not complete,74,99,58
male,group B,college,standard,complete,78,44,49
female,group B,college,,complete,96,61,62
male,group C,high school,free/reduced,not complete,93,33,45
male,group A,associate's degree,free/reduced,not complete,93,86,88
female,group D,high school,standard,complete,53,52,56
male,Group E,high school,free/reduced,complete,87,94,64
male,group A,high school,free/reduced,not complete,36,38,81
male,group E,college,free/reduced,Not complete,67,61,54
male,group E,college,standard,complete,40,88,61
female,group C,college,standard,complete,53,67,58
male,group E,high school,standard,not complete,77,36,51
male,group C,master's degree,standard,not complete,68,47,81
female,group A,high school,free/reduced,not complete,79,67,63
other,group B,college,standard,not complete,94,80,70
female,group C,bachelor's degree,free/reduced,complete,83,95,81
male,group D,high school,standard,complete,78,64,924
male,group B,bachelor's degree,free/reduced,complete,98,65,77
,,college,standard,complete,45,53,92
,,college,standard,complete,45,53,92
,group A,high school,free/reduced,not complete,72,54,67
female,group C,associate's degree,standard,complete,35,37,96
female,group A,college,standard,complete,74,86,85
male,group D,associate's degree,free/reduced,not complete,59,59,36
female,group A,associate's degree,standard,not complete,30,48,73
male,group A,college,free/reduced,complete,33,37,36
male,group C,associate's degree,standard,not complete,47,75,49
male,group C,college,standard,complete,86,96,41
female,group E,college,standard,complete,33,98,39
female,group A,college,free/reduced,complete,525,75,50
Male,group D,high school,standard,not complete,48,35,61
female,group B,associate's degree,free/reduced,not complete,39,67,35
female,group C,bachelor's degree,free/reduced,not complete,69,33,66
other,group D,bachelor's degree,free/reduced,not complete,546,91,54
male,group E,high school,free/reduced,not complete,53,71,77
female,group D,college,free/reduced,complete,98,79,84
female,group B,bachelor's degree,free/reduced,not complete,47,50,41
male,group C,high school,,not complete,69,96,34
male,group C,high school,free/reduced,complete,32,35,82
male,group C,high school,standard,complete,45,60,85
female,group B,high school,free/reduced,complete,50,528,54
female,group D,high school,standard,complete,58,72,30
male,group D,high school,standard,not complete,99,50,59
male,group C,bachelor's degree,free/reduced,not complete,55,100,89
female,group C,bachelor's degree,,not complete,45,61,55
female,group E,associate's degree,standard,complete,95,78,53
female,group E,college,standard,complete,49,51,49
female,,high school,free/reduced,complete,97,71,40
female,group B,associate's degree,standard,complete,58,96,78
male,group A,college,free/reduced,not complete,100,52,37
